Date,Kick Off (local),Home Team,Away Team,Venue,Home Score,Away Score,Play Off Game?,Home Goals,Home Behinds,Away Goals,Away Behinds,Home Odds,Away Odds,Bookmakers Surveyed
10-Sep-16,15:20,Sydney,GWS Giants,ANZ Stadium,55,91,Y,7,13,12,19, 1.50 , 2.59 ,14
09-Sep-16,19:50,Geelong,Hawthorn,MCG,85,83,Y,12,13,12,11, 1.62 , 2.30 ,14
08-Sep-16,18:10,West Coast,Western Bulldogs,Domain Stadium,52,99,Y,7,10,14,15, 1.26 , 3.89 ,14
28-Aug-16,14:40,Fremantle,Western Bulldogs,Domain Stadium,69,49,,10,9,6,13, 2.85 , 1.44 ,14
28-Aug-16,15:20,Hawthorn,Collingwood,MCG,112,111,,17,10,17,9, 1.29 , 3.62 ,14
28-Aug-16,13:10,St Kilda,Brisbane,Etihad Stadium,161,103,,25,11,15,13, 1.05 , 10.13 ,14
27-Aug-16,19:25,Gold Coast,Port Adelaide,Metricon Stadium,66,89,,9,12,13,11, 2.77 , 1.44 ,14
27-Aug-16,19:25,North Melbourne,GWS Giants,Etihad Stadium,63,100,,9,9,14,16, 2.70 , 1.46 ,14
27-Aug-16,16:35,Sydney,Richmond,SCG,164,51,,25,14,7,9, 1.04 , 11.37 ,14
27-Aug-16,14:10,Essendon,Carlton,MCG,103,79,,15,13,10,19, 3.21 , 1.35 ,14
27-Aug-16,13:45,Geelong,Melbourne,Simonds Stadium,155,44,,24,11,6,8, 1.15 , 5.49 ,14
26-Aug-16,19:40,Adelaide,West Coast,Adelaide Oval,71,100,,10,11,14,16, 1.26 , 3.85 ,14
21-Aug-16,16:40,Essendon,Western Bulldogs,Etihad Stadium,53,93,,7,11,14,9, 6.83 , 1.10 ,15
21-Aug-16,15:20,Brisbane,Geelong,Gabba,69,129,,10,9,19,15, 12.39 , 1.03 ,14
21-Aug-16,13:10,Carlton,Melbourne,MCG,78,58,,11,12,7,16, 4.30 , 1.22 ,15
20-Aug-16,19:10,Port Adelaide,Adelaide,Adelaide Oval,94,109,,14,10,15,19, 7.71 , 1.09 ,15
